mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 80.450, 126.789, 0.000, 1638289840.347, 
, , , 80.449, 126.790, 0.000, 1638289841.351, 
, , , 80.449, 126.790, 0.000, 1638289842.358, 
, , , 80.448, 126.790, 0.000, 1638289843.363, 
, , , 80.448, 126.791, 0.000, 1638289844.367, 
, , , 80.448, 126.792, 0.000, 1638289845.370, 
, , , 80.448, 126.792, 0.000, 1638289846.373, 
, , , 80.447, 126.793, 0.000, 1638289847.376, 
, , , 80.445, 126.793, 0.000, 1638289848.381, 
, , , 80.445, 126.794, 0.000, 1638289849.385, 
, , , 80.445, 126.795, 0.000, 1638289850.388, 
, , , 80.444, 126.797, 0.000, 1638289851.392, 
, , , 80.444, 126.798, 0.000, 1638289852.398, 
, , , 80.442, 126.799, 0.000, 1638289853.402, 
, , , 80.442, 126.801, 0.000, 1638289854.412, 
, , , 80.440, 126.801, 0.000, 1638289855.418, 
, , , 80.440, 126.802, 0.000, 1638289856.422, 
, , , 80.439, 126.802, 0.000, 1638289857.425, 
, , , 80.439, 126.803, 0.000, 1638289858.428, 
, , , 80.438, 126.804, 0.000, 1638289859.433, 
, , , 80.439, 126.805, 0.000, 1638289860.436, 
, , , 80.438, 126.807, 0.000, 1638289861.440, 
, , , 80.437, 126.808, 0.000, 1638289862.447, 
, , , 80.438, 126.808, 0.000, 1638289863.452, 
, , , 80.440, 126.807, 0.000, 1638289864.454, 
, , , 80.441, 126.808, 0.000, 1638289865.459, 
, , , 80.442, 126.808, 0.000, 1638289866.463, 
, , , 80.442, 126.809, 0.000, 1638289867.467, 
, , , 80.443, 126.809, 0.000, 1638289868.471, 
, , , 80.444, 126.809, 0.000, 1638289869.476, 
, , , 80.445, 126.809, 0.000, 1638289870.479, 
, , , 80.445, 126.810, 0.000, 1638289871.484, 
, , , 80.445, 126.809, 0.000, 1638289872.487, 
, , , 80.445, 126.810, 0.000, 1638289873.491, 
, , , 80.446, 126.811, 0.000, 1638289874.494, 
, , , 80.449, 126.811, 0.000, 1638289875.501, 
, , , 80.448, 126.811, 0.000, 1638289876.510, 
, , , 80.448, 126.812, 0.000, 1638289877.515, 
, , , 80.447, 126.799, 0.000, 1638289878.519, 
, , , 80.447, 126.795, 0.000, 1638289879.524, 
, , , 80.448, 126.794, 0.000, 1638289880.528, 
, , , 80.448, 126.792, 0.000, 1638289881.535, 
, , , 80.448, 126.791, 0.000, 1638289882.538, 
, , , 80.449, 126.793, 0.000, 1638289883.543, 
, , , 80.450, 126.796, 0.000, 1638289884.547, 
, , , 80.450, 126.797, 0.000, 1638289885.551, 
, , , 80.451, 126.798, 0.000, 1638289886.554, 
, , , 80.451, 126.797, 0.000, 1638289887.557, 
, , , 80.452, 126.798, 0.000, 1638289888.560, 
, , , 80.452, 126.798, 0.000, 1638289889.563, 
, , , 80.453, 126.798, 0.000, 1638289890.567, 
, , , 80.454, 126.797, 0.000, 1638289891.570, 
, , , 80.454, 126.797, 0.000, 1638289892.573, 
, , , 80.454, 126.796, 0.000, 1638289893.577, 
, , , 80.455, 126.796, 0.000, 1638289894.582, 
, , , 80.455, 126.795, 0.000, 1638289895.586, 
, , , 80.455, 126.795, 0.000, 1638289896.590, 
, , , 80.456, 126.794, 0.000, 1638289897.594, 
, , , 80.456, 126.794, 0.000, 1638289898.599, 
, , , 80.457, 126.793, 0.000, 1638289899.602, 
, , , 80.457, 126.793, 0.000, 1638289900.607, 
, , , 80.457, 126.792, 0.000, 1638289901.616, 
, , , 80.457, 126.791, 0.000, 1638289902.622, 
, , , 80.457, 126.791, 0.000, 1638289903.626, 
, , , 80.458, 126.790, 0.000, 1638289904.629, 
, , , 80.458, 126.790, 0.000, 1638289905.632, 
, , , 80.458, 126.789, 0.000, 1638289906.636, 
, , , 80.458, 126.789, 0.000, 1638289907.640, 
, , , 80.457, 126.788, 0.000, 1638289908.644, 
, , , 80.457, 126.787, 0.000, 1638289909.649, 
, , , 80.457, 126.787, 0.000, 1638289910.653, 
, , , 80.457, 126.787, 0.000, 1638289911.659, 
, , , 80.457, 126.786, 0.000, 1638289912.662, 
, , , 80.457, 126.786, 0.000, 1638289913.667, 
, , , 80.457, 126.785, 0.000, 1638289914.671, 
, , , 80.456, 126.785, 0.000, 1638289915.674, 
, , , 80.456, 126.785, 0.000, 1638289916.678, 
, , , 80.456, 126.784, 0.000, 1638289917.682, 
, , , 80.456, 126.784, 0.000, 1638289918.686, 
, , , 80.455, 126.784, 0.000, 1638289919.690, 
, , , 80.455, 126.784, 0.000, 1638289920.696, 
, , , 80.454, 126.784, 0.000, 1638289921.699, 
, , , 80.454, 126.784, 0.000, 1638289922.702, 
, , , 80.454, 126.784, 0.000, 1638289923.706, 
, , , 80.454, 126.784, 0.000, 1638289924.711, 
, , , 80.453, 126.784, 0.000, 1638289925.718, 
, , , 80.453, 126.784, 0.000, 1638289926.721, 
, , , 80.453, 126.784, 0.000, 1638289927.724, 
, , , 80.452, 126.784, 0.000, 1638289928.727, 
, , , 80.451, 126.784, 0.000, 1638289929.730, 
, , , 80.452, 126.784, 0.000, 1638289930.734, 
, , , 80.454, 126.784, 0.000, 1638289931.738, 
, , , 80.454, 126.785, 0.000, 1638289932.743, 
, , , 80.455, 126.785, 0.000, 1638289933.749, 
, , , 80.455, 126.786, 0.000, 1638289934.753, 
, , , 80.452, 126.782, 0.000, 1638289935.756, 
, , , 80.449, 126.781, 0.000, 1638289936.759, 
, , , 80.447, 126.782, 0.000, 1638289937.763, 
, , , 80.447, 126.783, 0.000, 1638289938.770, 
, , , 80.447, 126.784, 0.000, 1638289939.776, 
, , , 80.445, 126.784, 0.000, 1638289940.779, 
, , , 80.444, 126.784, 0.000, 1638289941.783, 
, , , 80.443, 126.785, 0.000, 1638289942.787, 
, , , 80.443, 126.787, 0.000, 1638289943.790, 
, , , 80.442, 126.789, 0.000, 1638289944.794, 
, , , 80.442, 126.790, 0.000, 1638289945.798, 
, , , 80.441, 126.791, 0.000, 1638289946.804, 
, , , 80.442, 126.791, 0.000, 1638289947.809, 
, , , 80.442, 126.790, 0.000, 1638289948.815, 
, , , 80.442, 126.790, 0.000, 1638289949.818, 
, , , 80.442, 126.792, 0.000, 1638289950.822, 
